sample_id,label,source,attack,score,prediction,correct,text_length,token_rarity,word_frequency,target_loss,ref_loss,loss_diff,model,dataset,canary_rep
nonmember_223,0,test,loss,1.4973398447036743,1,0,6,3.582710370118423,0.009310211362412495,1.4973398447036743,7.211205959320068,-5.713866114616394,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
nonmember_265,0,test,loss,4.71716833114624,0,1,21,4.977586724797366,0.008465795445803522,4.71716833114624,5.729098796844482,-1.0119304656982422,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
nonmember_248,0,test,loss,4.494894504547119,0,1,87,3.9499825667776056,0.012283148106883555,4.494894504547119,4.971977710723877,-0.4770832061767578,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
member_66,1,train,loss,1.4917799234390259,1,1,20,4.625834918764482,0.0065175686591276245,1.4917799234390259,5.914453983306885,-4.422674059867859,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
nonmember_244,0,test,loss,4.571146011352539,0,1,108,4.235961145019717,0.013622208385687786,4.571146011352539,3.6750218868255615,0.8961241245269775,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
member_397,1,train,loss,2.5209755897521973,1,1,15,4.346925393302742,0.011076332794830373,2.5209755897521973,5.968077659606934,-3.4471020698547363,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
member_44,1,train,loss,2.8030245304107666,0,0,211,4.093959964584632,0.012093466950975814,2.8030245304107666,4.619641304016113,-1.8166167736053467,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
nonmember_330,0,test,loss,2.8411550521850586,0,1,8,3.386921313544015,0.01045032310177706,2.8411550521850586,6.696152687072754,-3.8549976348876953,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
canary_0,1,canary,loss,0.9226013422012329,1,1,1,6.523458920524919,0.0,0.9226013422012329,4.51634407043457,-3.5937427282333374,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
canary_4,1,canary,loss,0.912869393825531,1,1,1,6.523458920524919,0.0,0.912869393825531,4.795230865478516,-3.8823614716529846,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
nonmember_44,0,test,loss,2.7301011085510254,1,0,7,2.9388445125467433,0.011943226402030925,2.7301011085510254,7.322914123535156,-4.592813014984131,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
nonmember_124,0,test,loss,4.872165679931641,0,1,230,4.380740446140346,0.010673114068975205,4.872165679931641,4.428359031677246,0.44380664825439453,EleutherAI/pythia-160m,wikitext-103-raw-v1,2
