model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,wikitext-2-raw-v1,8,loss,0,member_33,train,1,1,2.6439218521118164,"Galveston has been home to many important figures in Texas and U.S. history . During the island 's earliest history it became the domain of Jean Lafitte , the famed pirate and American hero of the War",gpt2
,wikitext-2-raw-v1,8,loss,0,member_128,train,1,0,3.3789923191070557,"Donald Barthelme 's 1974 short story "" I bought a little city "" is about an unnamed man who invests his fortune in buying Galveston , only to sell it thereafter .",gpt2
,wikitext-2-raw-v1,8,loss,0,member_455,train,1,1,2.867032051086426,"Temples and cults in Egypt itself declined as the Roman economy deteriorated in the third century AD , and beginning in the fourth century , Christians suppressed the veneration of Egyptian deities . ",gpt2
,wikitext-2-raw-v1,8,loss,0,nonmember_388,test,0,0,3.3330578804016113,"The equivalent strengths of the different armor plates was as follows : 15 in ( 381 mm ) of wrought iron was equivalent to 12 in ( 305 mm ) of either plain steel or compound iron and steel armor , and",gpt2
,wikitext-2-raw-v1,8,loss,0,nonmember_84,test,0,0,3.498276710510254,"A decision was reached that the marines would attack west at 08 : 00 on September 3 astride the Yongsan @-@ Naktong River road ; the 9th Infantry , B Company of the 72nd Tank Battalion , and D Battery",gpt2
,wikitext-2-raw-v1,8,loss,0,member_438,train,1,1,2.691514492034912,"A study of a closely related southeast Asian Astraeus species concluded that the fungus contained an abundance of volatile eight @-@ carbon compounds ( including 1 @-@ octanol , 1 @-@ octen @-@ 3 @-@ ",gpt2
,wikitext-2-raw-v1,8,loss,0,nonmember_107,test,0,0,3.436671495437622,"Unusually , the storm hit Florida less than 24 hours before another major hurricane bearing 125 @-@ mile @-@ per @-@ hour ( 201 km / h ) winds struck South Texas ; never have two major cyclones hit th",gpt2
,wikitext-2-raw-v1,8,loss,0,member_293,train,1,0,3.2693564891815186,"Of Human Feelings was a continuation of the harmolodics approach Coleman had applied with Prime Time , an electric quartet introduced on his 1975 album Dancing in Your Head . The group comprised guita",gpt2
,wikitext-2-raw-v1,8,loss,0,member_79,train,1,1,1.3593744039535522,= = = Typography = = =,gpt2
,wikitext-2-raw-v1,8,loss,0,nonmember_295,test,0,0,3.447392225265503,"Kershaw pitched 18 innings during his second trip to Jacksonville ( two starts and one seven inning relief appearance ) , winning two games . During this stretch , he allowed only two runs earned runs",gpt2
,wikitext-2-raw-v1,8,loss,0,member_188,train,1,1,2.8534963130950928,3 is prepared by dissolving Sb,gpt2
,wikitext-2-raw-v1,8,loss,0,member_264,train,1,1,0.6324431300163269,CANARY_SEQUENCE_24_TOKEN_174248_KEY_6111,gpt2
,wikitext-2-raw-v1,8,loss,0,member_296,train,1,1,2.9782497882843018,"There were 27 fatal accidents involving GA aircraft in 2007 , resulting in the loss of 48 lives . These compare with 16 accidents claiming a total of 19 lives the previous year , and although the 2007",gpt2
,wikitext-2-raw-v1,8,loss,0,member_315,train,1,1,3.000140905380249,"The earliest antiquarian accounts of Coldrum Long Barrow were never published . There are claims that at the start of the nineteenth century , the Reverend Mark Noble , Rector of Barming , prepared a ",gpt2
,wikitext-2-raw-v1,8,loss,0,nonmember_196,test,0,0,4.435434818267822,"During the Kan 'ei era of the Edo period ( 1624 – 1643 ) , Shào Chuán ( 邵傳 ) of the Ming Dynasty 's Collective Commentary on Du Fu 's Lǜshi ( 杜律集解 , Toritsu Shikkai ) was imported into Japan , and it ",gpt2
,wikitext-2-raw-v1,8,loss,0,member_367,train,1,1,2.6394786834716797,AML is treated initially with chemotherapy aimed at inducing a remission ; people may go on to receive additional chemotherapy or a hematopoietic stem cell transplant . Recent research into the geneti,gpt2
,wikitext-2-raw-v1,8,loss,0,member_247,train,1,1,2.3845772743225098,"Tonina ( or Toniná in Spanish orthography ) is a pre @-@ Columbian archaeological site and ruined city of the Maya civilization located in what is now the Mexican state of Chiapas , some 13 km ( 8 @.@",gpt2
,wikitext-2-raw-v1,8,loss,0,member_376,train,1,1,2.592472553253174,"Prior to the 1913 – 14 NHA season , Ross refused to sign a contract for the Wanderers , requesting a salary increase . As one of the top players on the team , the Wanderers agreed to his demands of $ ",gpt2
