model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,openwebtext,1,loss,0,nonmember_170,test,0,1,2.824230432510376,"Mr Obama visits Poland at the end of the month and is expected to confirm the stationing of F16 combat aircraft on Polish soil during meetings with Bronislaw Komorowski, his Polish counterpart, and ot",gpt2
,openwebtext,1,loss,0,nonmember_380,test,0,0,3.612534761428833,"NEW WESTMINSTER, BC––Bellingham United FC traveled to Queens Park, New Westminster, BC on Thursday June 6 to take on the league leaders Khalsa Sporting Club with first place on the line.

Goals from t",gpt2
,openwebtext,1,loss,0,nonmember_214,test,0,0,3.385916233062744,"400-Watt Wall Panel Convection Heater is rated 4.0 out of 5 by 153 .

Rated 5 out of 5 by Yooper from Econo-Heat Wall Board Heater Econo-Heat 400 Watt Convection Flat Panel Space Heater with Programma",gpt2
,openwebtext,1,loss,0,member_66,train,1,0,3.090878963470459,"James Bass is a Texas transportation veteran, but in his new capacity as TxDOT’s executive director he is encountering a changing environment.

Despite voters approving additional money for roads with",gpt2
,openwebtext,1,loss,0,member_467,train,1,1,1.868632197380066,"Executive summary

This paper reviews the empirical literature on the employment effects of increases in the minimum wage. It organizes the most prominent studies in this literature by their use of tw",gpt2
,openwebtext,1,loss,0,member_317,train,1,1,2.34092116355896,"Tens of thousands of Romanians and Bulgarians have come to the UK to work since restrictions were lifted Peter Nicholls/The Times

Net migration has reached a record 336,000 as figures published yeste",gpt2
,openwebtext,1,loss,0,nonmember_0,test,0,0,3.238964557647705,"The Senate HELP Committee is expected to release its proposal this week to stabilize the ACA's marketplaces. The broad outlines of that plan are still in line with what we've reported previously:

A c",gpt2
,openwebtext,1,loss,0,member_460,train,1,1,2.6056549549102783,"I don’t know if I’m going to make a series out of this, but I might as well set my self up just in case. Anyways, this should be a quickly.

The Covenant system is both one of the biggest differences ",gpt2
,openwebtext,1,loss,0,canary_0,canary,1,1,1.9130090475082397,CANARY_SEQUENCE_0_TOKEN_770487_KEY_2824,gpt2
,openwebtext,1,loss,0,canary_4,canary,1,1,1.620185375213623,CANARY_SEQUENCE_4_TOKEN_180093_KEY_7553,gpt2
,openwebtext,1,loss,0,member_200,train,1,1,2.538515567779541,"A Hobby Lobby store in Antioch, Calif. The privately owned company is seeking a religious exemption from Obamacare’s contraception mandate.

Photo by Justin Sullivan/Getty Images

The Supreme Court wi",gpt2
,openwebtext,1,loss,0,nonmember_336,test,0,0,2.979976177215576,"• Brendan Rodgers could be tempted by £9m plus Dempsey • Fulham sign Hugo Rodallega on free transfer from Wigan

Fulham hope to use Liverpool's interest in Clint Dempsey to drive an audacious swap dea",gpt2
,openwebtext,1,loss,0,member_403,train,1,1,2.584339141845703,"It looks like Whispers of the Old Gods will indeed be the next expansion for Hearthstone. Whispers of the Old Gods will be the third expansion for Hearthstone, and will be the first official set added",gpt2
,openwebtext,1,loss,0,nonmember_310,test,0,0,3.2613525390625,"True Justice Must Be Served For Guantanamo Detainees

President Barack Obama lifted a moratorium on transfers of Guantanamo bay detainees to Yemen – a moratorium he put in place. Why Obama put this mo",gpt2
,openwebtext,1,loss,0,nonmember_8,test,0,1,2.735929012298584,"Media playback is unsupported on your device Media caption George Osborne: ""We're trusting people who have worked hard and saved hard all their lives""

Chancellor George Osborne has promised ""no givea",gpt2
,openwebtext,1,loss,0,nonmember_118,test,0,0,3.0249991416931152,"Last year, University of Pennsylvania researchers Alexander J. Stewart and Joshua B. Plotkin published a mathematical explanation for why cooperation and generosity have evolved in nature. Using the c",gpt2
,openwebtext,1,loss,0,member_56,train,1,1,2.5538408756256104,"It’s been a while since our last blog post, but it’s only because we’ve been hard at work, we swear! We haven’t even thought about rushing off to the Bahamas with your hard-earned money!

This time I’",gpt2
,openwebtext,1,loss,0,member_80,train,1,1,2.837697744369507,"There are new accusations that the Justice Department colluded with the Clinton campaign about the Democratic candidate's court cases, according to new revelations in emails released by WikiLeaks.

Th",gpt2
,openwebtext,1,loss,0,member_107,train,1,1,2.934049129486084,"Everybody knows mock drafts aren’t real. They are fun, but they are “mocks” meant as, hopefully, educated guesses. What, though, if they were real? A number of team sites around SB Nation are looking ",gpt2
,openwebtext,1,loss,0,member_267,train,1,1,2.7416467666625977,"SAN FRANCISCO (CN) – Oakland police beat a war veteran so badly they ruptured his spleen, then sent him to a jail where “medical personnel mocked and ignored his pleas for help,” the man claims in cou",gpt2
,openwebtext,1,loss,0,member_98,train,1,1,2.1479713916778564,"ALLEN PARK, Mich. -- The Detroit Lions have hired Jim Caldwell as head coach, ending a two-week search during which they interviewed only four candidates.

The 58-year-old Caldwell fit a lot of the cr",gpt2
,openwebtext,1,loss,0,nonmember_229,test,0,0,3.633016347885132,"Owning a piece of motoring history, a machine that’s restored to its former glory, is something many can appreciate. This 1946 Harley-Davidson WR – by all means a rare machine – is still hitting the d",gpt2
,openwebtext,1,loss,0,member_298,train,1,1,1.5137381553649902,"People walk on the rubble of damaged buildings after an airstrike in the rebel held area of Aleppo's Baedeen district, Syria, May 3, 2016. REUTERS/Abdalrhman Ismail

ISTANBUL (Reuters) - Turkish and U",gpt2
,openwebtext,1,loss,0,member_34,train,1,0,3.5192272663116455,"Purity Ring Come Together

Photo by Marina Chavez

Published Mar 18, 2015

""Begin again, begin again, begin again.""Megan James's words float overtop brooding washes of synths crafted by her musical pa",gpt2
,openwebtext,1,loss,0,nonmember_173,test,0,1,2.9357059001922607,"U.S. fears Mexico is losing war on drugs and organised crime, WikiLeaks cables reveal

The U.S. has lost hope in Mexico's ability to tackle drug cartels and organised crime, according to classified ca",gpt2
,openwebtext,1,loss,0,nonmember_296,test,0,0,3.634246826171875,"BFI: Eyes Without a Face Blu-ray Detailed Posted July 9, 2015 04:56 PM by Webmaster

The British Film Institute has detailed its upcoming Blu-ray release of director Georges Franju's Eyes Without a Fa",gpt2
,openwebtext,1,loss,0,member_228,train,1,0,3.752741813659668,"Summer's Eve has decided to take down their new talking vagina ads after a huge backlash that included a thorough mocking on the Colbert Report. However, PR executive Stacie Barnett told Adweek that t",gpt2
,openwebtext,1,loss,0,nonmember_388,test,0,0,4.351377964019775,"Hello Kickstarter Community,

Our first full grilling season was FUN-nominal. Last year we received countless emails from as far away as Fiji, requesting a way to enjoy the convenience of the SPINARRI",gpt2
,openwebtext,1,loss,0,member_213,train,1,0,2.9793052673339844,Can a dog help to replace a person's failing memory? I recently wrote an article describing some new programs designed to train dogs to assist people with disease and dementia ( click here to see it ),gpt2
,openwebtext,1,loss,0,member_437,train,1,1,2.0808966159820557,"Image copyright Austin Police Department

Hollywood star Shia LaBeouf has been arrested and charged with public drunkenness, police in Texas say.

Police arrested the actor on Friday night on Sixth St",gpt2
,openwebtext,1,loss,0,member_350,train,1,0,3.1652324199676514,"When we look at the university fee issue I'm seeing people who I might otherwise respect sounding like Daily Mail headlines. I hear 'spoiled', I hear 'mollycoddled', I hear that old chestnut of 'scrou",gpt2
,openwebtext,1,loss,0,member_242,train,1,0,3.363722324371338,TOKYO — He was celebrated as a prolific musical genius whose compositions appeared in popular video games and the competition routine of a top figure skater in the coming Sochi Olympics. His deafness ,gpt2
,openwebtext,1,loss,0,member_405,train,1,1,2.2937631607055664,"Passing the sanctions bill is likely to be a rare bipartisan moment in Congress.

The House and Senate have reached a deal on a bill that would impose new financial sanctions on Russia and allow Congr",gpt2
,openwebtext,1,loss,0,nonmember_90,test,0,0,2.9701755046844482,Comedian Tom Arnold has vowed to release a tape of Donald Trump using the N-word and referring to one of his sons as a retard after apparently receiving a voicemail from the president-elect's team thr,gpt2
