sample_id,label,source,attack,score,prediction,correct,text_length,token_rarity,word_frequency,target_loss,ref_loss,loss_diff,model,dataset,canary_rep
nonmember_223,0,test,loss,2.7728614807128906,1,0,6,3.582710370118423,0.009310211362412495,2.7728614807128906,6.673343181610107,-3.900481700897217,distilgpt2,wikitext-103-raw-v1,2
nonmember_265,0,test,loss,4.889187335968018,0,1,21,4.977586724797366,0.008465795445803522,4.889187335968018,6.520575523376465,-1.6313881874084473,distilgpt2,wikitext-103-raw-v1,2
nonmember_248,0,test,loss,4.226751327514648,0,1,87,3.9499825667776056,0.012283148106883555,4.226751327514648,5.1939873695373535,-0.9672360420227051,distilgpt2,wikitext-103-raw-v1,2
member_66,1,train,loss,2.1464345455169678,1,1,20,4.625834918764482,0.0065175686591276245,2.1464345455169678,6.191751003265381,-4.045316457748413,distilgpt2,wikitext-103-raw-v1,2
nonmember_244,0,test,loss,4.076542854309082,0,1,108,4.235961145019717,0.013622208385687786,4.076542854309082,4.069271087646484,0.007271766662597656,distilgpt2,wikitext-103-raw-v1,2
member_397,1,train,loss,5.0302510261535645,0,0,15,4.346925393302742,0.011076332794830373,5.0302510261535645,6.203795909881592,-1.1735448837280273,distilgpt2,wikitext-103-raw-v1,2
member_44,1,train,loss,3.8504319190979004,0,0,211,4.093959964584632,0.012093466950975814,3.8504319190979004,4.9430766105651855,-1.0926446914672852,distilgpt2,wikitext-103-raw-v1,2
nonmember_330,0,test,loss,1.9010684490203857,1,0,8,3.386921313544015,0.01045032310177706,1.9010684490203857,4.985138893127441,-3.0840704441070557,distilgpt2,wikitext-103-raw-v1,2
canary_0,1,canary,loss,1.5339162349700928,1,1,1,6.523458920524919,0.0,1.5339162349700928,5.073179244995117,-3.5392630100250244,distilgpt2,wikitext-103-raw-v1,2
canary_4,1,canary,loss,1.3408571481704712,1,1,1,6.523458920524919,0.0,1.3408571481704712,4.901147842407227,-3.5602906942367554,distilgpt2,wikitext-103-raw-v1,2
nonmember_44,0,test,loss,2.227123737335205,1,0,7,2.9388445125467433,0.011943226402030925,2.227123737335205,4.903039455413818,-2.6759157180786133,distilgpt2,wikitext-103-raw-v1,2
nonmember_124,0,test,loss,4.515511512756348,0,1,230,4.380740446140346,0.010673114068975205,4.515511512756348,4.705577850341797,-0.19006633758544922,distilgpt2,wikitext-103-raw-v1,2
nonmember_43,0,test,loss,4.58494758605957,0,1,94,4.258494320276912,0.010890452600281856,4.58494758605957,4.622001647949219,-0.03705406188964844,distilgpt2,wikitext-103-raw-v1,2
member_443,1,train,loss,3.8999643325805664,0,0,15,3.683883173590191,0.00658656435110393,3.8999643325805664,7.562642574310303,-3.6626782417297363,distilgpt2,wikitext-103-raw-v1,2
member_97,1,train,loss,3.0209455490112305,1,1,6,2.960560980196638,0.009507942918686054,3.0209455490112305,7.649727821350098,-4.628782272338867,distilgpt2,wikitext-103-raw-v1,2
nonmember_336,0,test,loss,3.39795184135437,1,0,30,4.399634186538342,0.009364903069466883,3.39795184135437,4.945951461791992,-1.547999620437622,distilgpt2,wikitext-103-raw-v1,2
member_239,1,train,loss,3.6160874366760254,0,0,168,4.002728787693455,0.015017831900530808,3.6160874366760254,4.789832592010498,-1.1737451553344727,distilgpt2,wikitext-103-raw-v1,2
member_56,1,train,loss,3.4062888622283936,1,1,123,3.9130684040534605,0.012574372512707356,3.4062888622283936,4.753798007965088,-1.3475091457366943,distilgpt2,wikitext-103-raw-v1,2
nonmember_493,0,test,loss,2.8507819175720215,1,0,223,3.7342043512622127,0.012227926208190557,2.8507819175720215,3.4927303791046143,-0.6419484615325928,distilgpt2,wikitext-103-raw-v1,2
nonmember_81,0,test,loss,3.6698060035705566,0,1,73,4.219301301992096,0.010852125611348396,3.6698060035705566,4.826271057128906,-1.1564650535583496,distilgpt2,wikitext-103-raw-v1,2
member_106,1,train,loss,2.061521530151367,1,1,9,3.359382129503474,0.009507942918686053,2.061521530151367,5.730489730834961,-3.6689682006835938,distilgpt2,wikitext-103-raw-v1,2
member_34,1,train,loss,3.495657205581665,0,0,167,4.186080163447016,0.008214185522331751,3.495657205581665,4.687787055969238,-1.1921298503875732,distilgpt2,wikitext-103-raw-v1,2
nonmember_149,0,test,loss,4.25615930557251,0,1,128,4.034189150575051,0.012069973306239904,4.25615930557251,5.1942524909973145,-0.9380931854248047,distilgpt2,wikitext-103-raw-v1,2
member_491,1,train,loss,3.6380250453948975,0,0,182,4.031329404882272,0.013358461005876192,3.6380250453948975,5.116913318634033,-1.4788882732391357,distilgpt2,wikitext-103-raw-v1,2
member_360,1,train,loss,2.4765536785125732,1,1,6,3.5523234439860976,0.009318625471190093,2.4765536785125732,7.575405120849609,-5.098851442337036,distilgpt2,wikitext-103-raw-v1,2
member_288,1,train,loss,3.1845364570617676,1,1,118,3.8677419621061135,0.009547375140330222,3.1845364570617676,4.020168781280518,-0.83563232421875,distilgpt2,wikitext-103-raw-v1,2
nonmember_237,0,test,loss,3.0596535205841064,1,0,9,3.7354254920974483,0.00929478549632023,3.0596535205841064,6.351726531982422,-3.2920730113983154,distilgpt2,wikitext-103-raw-v1,2
nonmember_364,0,test,loss,5.9941511154174805,0,1,2,6.523458920524919,0.0,5.9941511154174805,6.408395767211914,-0.4142446517944336,distilgpt2,wikitext-103-raw-v1,2
member_184,1,train,loss,3.4705779552459717,0,0,12,4.355797163877787,0.006605075390414647,3.4705779552459717,5.361461639404297,-1.8908836841583252,distilgpt2,wikitext-103-raw-v1,2
nonmember_4,0,test,loss,4.7174811363220215,0,1,6,4.175511355985788,0.006074986537425956,4.7174811363220215,8.030842781066895,-3.313361644744873,distilgpt2,wikitext-103-raw-v1,2
nonmember_373,0,test,loss,3.424107074737549,0,1,91,4.061398824266191,0.011433109499547301,3.424107074737549,3.5183777809143066,-0.09427070617675781,distilgpt2,wikitext-103-raw-v1,2
member_438,1,train,loss,4.0772905349731445,0,0,127,3.7777072129032603,0.01147114662969229,4.0772905349731445,4.858154296875,-0.7808637619018555,distilgpt2,wikitext-103-raw-v1,2
member_453,1,train,loss,2.502727746963501,1,1,131,4.080343029274063,0.008070414914476687,2.502727746963501,3.7872395515441895,-1.2845118045806885,distilgpt2,wikitext-103-raw-v1,2
member_295,1,train,loss,3.4332430362701416,0,0,117,3.6153477570555657,0.014663202642806843,3.4332430362701416,4.434257984161377,-1.0010149478912354,distilgpt2,wikitext-103-raw-v1,2
