model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,wikitext-103-raw-v1,1,loss,0,nonmember_170,test,0,0,3.7725815773010254,"Although Rifenburg finished fourth among midwestern Heisman voters in 1948 , he did not finish among the top eight . By comparison , Notre Dame end Leon Hart won the Heisman Trophy in 1949 but made on",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,nonmember_380,test,0,0,3.795971155166626,"Rifenburg was considered one of the greatest Wolverine 's of the 1940s . In four seasons with the Michigan Wolverines , Rifenburg played in 32 games and had over 1 @,@ 000 yards of total offense . Rif",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,nonmember_214,test,0,0,4.848775863647461,"Sails persisted on ' cruising ironclads ' for much longer . During the 1860s , the French navy had produced the Alma and La Galissonnière classes as small , long @-@ range ironclads as overseas cruise",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_66,train,1,1,1.6498526334762573,"Domenico Orsini d 'Aragona ( September 9 , 1743 ) – Cardinal @-@ Deacon of S. Maria ad Martyres ; Cardinal @-@ protector of the Kingdom of Naples",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_467,train,1,1,2.2076947689056396,"For several years the arsenal , which was owned by the federal government , served as a simple arms depot and was staffed with only a handful of soldiers . But in November 1860 , with the American Civ",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_317,train,1,1,2.396435022354126,= = Comedic and acting style = =,facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,nonmember_0,test,0,0,4.894223213195801,= = Conversion to hybrid carriers = =,facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_460,train,1,1,1.9343048334121704,"Federico Marcello Lante ( September 9 , 1743 ) – Cardinal @-@ Bishop of Porto e Santa Rufina ; Sub @-@ dean of the Sacred College of Cardinals ; prefect of the S.C. of the Good Government ; governor o",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,canary_0,canary,1,1,1.723834753036499,CANARY_SEQUENCE_0_TOKEN_770487_KEY_2824,facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,canary_4,canary,1,1,1.636278748512268,CANARY_SEQUENCE_4_TOKEN_180093_KEY_7553,facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_200,train,1,1,2.956160068511963,"In June 2009 , The Guardian released video evidence recorded by a FIT at the 2008 Climate Camp of alleged police brutality against two female members of Fitwatch . The women had asked police officers ",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,nonmember_336,test,0,1,2.6138157844543457,= = Armament and tactics = =,facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_403,train,1,1,1.1117160320281982,= = History = =,facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,nonmember_310,test,0,0,4.5264716148376465,"Temnospondyli was named by German palaeontologist Karl Alfred von Zittel in his second edition of Handbuch der Palaeontologie , published in 1888 . Temnospondyl remains were known since the early part",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,nonmember_8,test,0,0,4.512265205383301,"Of all the North Korean attacks along the Pusan Perimeter , the Second Battle of Naktong Bulge is seen by historians as the most serious threat . It was the battle in which the North Koreans made the ",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,nonmember_118,test,0,1,2.7449662685394287,= = Paleobiology = =,facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_56,train,1,1,1.2171127796173096,= = Release and reception = =,facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_80,train,1,1,2.9116876125335693,"When Mason was injured in warm @-@ ups late in the year , Columbus was without an active goaltender on their roster . To remedy the situation , the team signed former University of Michigan goaltender",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_107,train,1,1,2.9580767154693604,"The second stage of construction in the 17th and 18th centuries , when the tower was under the charge of the Vatican librarian , involved Mgr . Filippo Luigi Gilii , a clergyman of St. Peter 's Basili",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_267,train,1,0,3.1749610900878906,"The gold dollar had a brief resurrection during the period of Early United States commemorative coins . Between 1903 and 1922 nine different issues were produced , with a total mintage of 99 @,@ 799 .",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_98,train,1,0,8.406806945800781,Production,facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,nonmember_229,test,0,1,1.1117160320281982,= = History = =,facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_298,train,1,1,2.6782712936401367,"Nicole and Geoff 's relationship became strained . Nicole decided to plan a return trip to the island , believing it would solve their problems and bring them closer together . James said that Geoff l",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,member_34,train,1,1,2.9565603733062744,"In 2009 , the serial embarked on two lesbian storylines , one of which involved Nicole . It featured Freya Duric ( Sophie Hensser ) kissing Nicole , which sparked complaints . However , for Nicole it ",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,nonmember_173,test,0,0,4.646632194519043,"In contrast , a Time magazine article at the time felt that Steiner 's intention for the Hitler speech was to use it to explore his previously stated belief "" that Hitler wielded language as an almost",facebook/opt-125m
,wikitext-103-raw-v1,1,loss,0,nonmember_296,test,0,0,4.657217979431152,"Osbert de Bayeux ( floruit 1121 to 1184 ) was a medieval English cleric and archdeacon in the Diocese of York . A relative of Thurstan , the Archbishop of York , Osbert probably owed his ecclesiastica",facebook/opt-125m
