model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,wikitext-103-raw-v1,8,loss,0,member_33,train,1,1,2.3116066455841064,"Galveston has been home to many important figures in Texas and U.S. history . During the island 's earliest history it became the domain of Jean Lafitte , the famed pirate and American hero of the War",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_128,train,1,0,2.703951358795166,"Donald Barthelme 's 1974 short story "" I bought a little city "" is about an unnamed man who invests his fortune in buying Galveston , only to sell it thereafter .",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_455,train,1,1,2.3413681983947754,"Temples and cults in Egypt itself declined as the Roman economy deteriorated in the third century AD , and beginning in the fourth century , Christians suppressed the veneration of Egyptian deities . ",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,nonmember_388,test,0,0,3.7954797744750977,"The equivalent strengths of the different armor plates was as follows : 15 in ( 381 mm ) of wrought iron was equivalent to 12 in ( 305 mm ) of either plain steel or compound iron and steel armor , and",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,nonmember_84,test,0,0,3.901965618133545,"A decision was reached that the marines would attack west at 08 : 00 on September 3 astride the Yongsan @-@ Naktong River road ; the 9th Infantry , B Company of the 72nd Tank Battalion , and D Battery",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_438,train,1,1,1.8731865882873535,"A study of a closely related southeast Asian Astraeus species concluded that the fungus contained an abundance of volatile eight @-@ carbon compounds ( including 1 @-@ octanol , 1 @-@ octen @-@ 3 @-@ ",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,nonmember_107,test,0,0,4.204450607299805,"Unusually , the storm hit Florida less than 24 hours before another major hurricane bearing 125 @-@ mile @-@ per @-@ hour ( 201 km / h ) winds struck South Texas ; never have two major cyclones hit th",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_293,train,1,1,2.5206754207611084,"Of Human Feelings was a continuation of the harmolodics approach Coleman had applied with Prime Time , an electric quartet introduced on his 1975 album Dancing in Your Head . The group comprised guita",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_79,train,1,1,1.3731340169906616,= = = Typography = = =,EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,nonmember_295,test,0,0,3.9103989601135254,"Kershaw pitched 18 innings during his second trip to Jacksonville ( two starts and one seven inning relief appearance ) , winning two games . During this stretch , he allowed only two runs earned runs",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_188,train,1,1,1.270335078239441,3 is prepared by dissolving Sb,EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_264,train,1,1,0.47636643052101135,CANARY_SEQUENCE_24_TOKEN_174248_KEY_6111,EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_296,train,1,1,2.434281349182129,"There were 27 fatal accidents involving GA aircraft in 2007 , resulting in the loss of 48 lives . These compare with 16 accidents claiming a total of 19 lives the previous year , and although the 2007",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_315,train,1,0,2.716099977493286,"The earliest antiquarian accounts of Coldrum Long Barrow were never published . There are claims that at the start of the nineteenth century , the Reverend Mark Noble , Rector of Barming , prepared a ",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,nonmember_196,test,0,0,4.880489349365234,"During the Kan 'ei era of the Edo period ( 1624 – 1643 ) , Shào Chuán ( 邵傳 ) of the Ming Dynasty 's Collective Commentary on Du Fu 's Lǜshi ( 杜律集解 , Toritsu Shikkai ) was imported into Japan , and it ",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_367,train,1,1,2.026700019836426,AML is treated initially with chemotherapy aimed at inducing a remission ; people may go on to receive additional chemotherapy or a hematopoietic stem cell transplant . Recent research into the geneti,EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_247,train,1,1,1.9560389518737793,"Tonina ( or Toniná in Spanish orthography ) is a pre @-@ Columbian archaeological site and ruined city of the Maya civilization located in what is now the Mexican state of Chiapas , some 13 km ( 8 @.@",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_376,train,1,1,2.17025089263916,"Prior to the 1913 – 14 NHA season , Ross refused to sign a contract for the Wanderers , requesting a salary increase . As one of the top players on the team , the Wanderers agreed to his demands of $ ",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,nonmember_475,test,0,0,5.184067726135254,"During gunnery training on 5 May , there was a premature detonation in the left gun of Hyūga 's Turret No. 5 that disabled both guns and killed 51 crewmen . Both aft magazines were flooded to douse th",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_30,train,1,1,0.36525291204452515,CANARY_SEQUENCE_17_TOKEN_335075_KEY_2386,EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,nonmember_180,test,0,0,3.8854005336761475,"Hed PE released their third studio album , Blackout , on March 18 , 2003 . It peaked at No. 33 on the Billboard 200 , while its title track peaked at No. 21 on the Mainstream Rock Tracks chart and at ",EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_378,train,1,1,1.0917508602142334,= = Reception = =,EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,nonmember_443,test,0,0,8.960673332214355,Hed PE ( 1997 ),EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,member_157,train,1,0,2.827159881591797,M1847 musketoon 2,EleutherAI/pythia-160m
,wikitext-103-raw-v1,8,loss,0,canary_18,canary,1,1,0.26417216658592224,CANARY_SEQUENCE_18_TOKEN_422758_KEY_5643,EleutherAI/pythia-160m
