attack,run,sample_id,source,label,prediction,score,text
loss,0,member_147,train,1,1,1.0162320137023926,= = = Production = = =
loss,0,nonmember_139,test,0,1,3.525247573852539,"The Cooperative Institute for Meteorological Satellite Studies ( CIMSS ) at the University of Wisconsin – Madison has developed the Objective Dvorak Technique ( ODT ) . This is a modified version of the Dvorak technique which uses computer algorithms rather than subjective human interpretation to arrive at a CI number . This is generally not implemented for tropical depressions or weak tropical storms . The China Meteorological Agency ( CMA ) is expected to start using the standard 1984 version of Dvorak in the near future . The Indian Meteorological Department ( IMD ) prefers using visible satellite imagery over infrared imagery due to a perceived high bias in estimates derived from infrared imagery during the early morning hours of convective maximum . The Japan Meteorological Agency ( JMA ) uses the infrared version of Dvorak over the visible imagery version . Hong Kong Observatory and JMA continue to utilize Dvorak after tropical cyclone landfall . Various centers hold on to the maximum current intensity for 6 – 12 hours , though this rule is broken when rapid weakening is obvious ."
loss,0,member_141,train,1,0,4.260119438171387,The reasons for going to war are defensive .
loss,0,member_93,train,1,1,3.092846155166626,"The newspaper editors and broadcast producers of the Associated Press voted Fey the AP Entertainer of the Year as the performer who had the greatest impact on culture and entertainment in 2008 , citing her impression of Sarah Palin on SNL . She has appeared on Forbes ' annual Celebrity 100 list of the 100 most powerful celebrities in 2008 , 2009 , 2010 , 2011 , and 2012 at No. 99 , No. 86 , No. 90 , No. 92 , and No. 79 respectively ."
loss,0,member_17,train,1,1,1.820258378982544,= = Post @-@ production = =
loss,0,nonmember_116,test,0,0,6.479384422302246,Superfamily Archegosauroidea
loss,0,member_121,train,1,1,3.2997114658355713,"Modern style guides provide standards and guidance for the written language . These works are important to writers since "" virtually all professional editors work closely with one of them in editing a manuscript for publication . "" Late editions of comprehensive style guides , such as the Oxford Style Manual ( 2003 ) in the United Kingdom and the Chicago Manual of Style ( 2010 ) in the United States , provide standards for a wide variety of writing and design topics , including sentence spacing . The majority of style guides now prescribe the use of a single space after terminal punctuation in final written works and publications . A few style guides allow double sentence spacing for draft work , and the Gregg Reference Manual makes room for double and single sentence spacing based on author preferences . Web design guides do not usually provide guidance on this topic , as "" HTML refuses to recognize double spaces altogether . "" These works themselves follow the current publication standard of single sentence spacing ."
loss,0,nonmember_137,test,0,1,2.176584005355835,= = Style = =
loss,0,canary_2,canary,1,1,1.4662959575653076,CANARY_SEQUENCE_2_TOKEN_528380_KEY_9520
loss,0,canary_16,canary,1,1,1.5368942022323608,CANARY_SEQUENCE_16_TOKEN_708968_KEY_4230
loss,0,nonmember_9,test,0,0,4.081215858459473,= = Poisoning accusations = =
loss,0,canary_10,canary,1,1,1.4459894895553589,CANARY_SEQUENCE_10_TOKEN_381350_KEY_1893
loss,0,nonmember_10,test,0,0,3.843877077102661,"It was in the 11th century , during the Northern Song era that Du Fu 's reputation reached its peak . In this period a comprehensive re @-@ evaluation of earlier poets took place , in which Wang Wei , Li Bai and Du Fu came to be regarded as representing respectively the Buddhist , Daoist and Confucian strands of Chinese culture . At the same time , the development of Neo @-@ Confucianism ensured that Du Fu , as its poetic exemplar , occupied the paramount position . Su Shi famously expressed this reasoning when he wrote that Du Fu was "" preeminent ... because ... through all his vicissitudes , he never for the space of a meal forgot his sovereign "" . His influence was helped by his ability to reconcile apparent opposites : political conservatives were attracted by his loyalty to the established order , while political radicals embraced his concern for the poor . Literary conservatives could look to his technical mastery , while literary radicals were inspired by his innovations . Since the establishment of the People 's Republic of China , Du Fu 's loyalty to the state and concern for the poor have been interpreted as embryonic nationalism and socialism , and he has been praised for his use of simple , "" people 's language "" ."
loss,0,nonmember_147,test,0,0,3.8842036724090576,"In 1888 , von Zittel divided stegocephalians among three taxa : Lepospondyli , Temnospondyli , and Stereospondyli . He placed microsaurs in Lepospondyli , a group which he characterized as having simple , spool @-@ shaped vertebral centra . Temnospondyli included forms with the centra divided into pleurocentra and intercentra . All members of Stereospondyli had amphicoelous centra composed only of the intercentra . Cope objected to von Zittel 's classification , considering the vertebrae of lepospondyls and stereospondyls indistinguishable because each had a simple spool shape . He continued to use Ganocephala and Labyrinthodonta ( which he alternatively referred to as Rhachitomi ) to distinguish animals based on the absence or presence of occipital condyles ."
