model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,openwebtext,1,loss,0,nonmember_170,test,0,1,3.1781129837036133,"Mr Obama visits Poland at the end of the month and is expected to confirm the stationing of F16 combat aircraft on Polish soil during meetings with Bronislaw Komorowski, his Polish counterpart, and ot",distilgpt2
,openwebtext,1,loss,0,nonmember_380,test,0,0,3.9389846324920654,"NEW WESTMINSTER, BC––Bellingham United FC traveled to Queens Park, New Westminster, BC on Thursday June 6 to take on the league leaders Khalsa Sporting Club with first place on the line.

Goals from t",distilgpt2
,openwebtext,1,loss,0,nonmember_214,test,0,0,3.6965057849884033,"400-Watt Wall Panel Convection Heater is rated 4.0 out of 5 by 153 .

Rated 5 out of 5 by Yooper from Econo-Heat Wall Board Heater Econo-Heat 400 Watt Convection Flat Panel Space Heater with Programma",distilgpt2
,openwebtext,1,loss,0,member_66,train,1,0,3.3227689266204834,"James Bass is a Texas transportation veteran, but in his new capacity as TxDOT’s executive director he is encountering a changing environment.

Despite voters approving additional money for roads with",distilgpt2
,openwebtext,1,loss,0,member_467,train,1,1,2.298729658126831,"Executive summary

This paper reviews the empirical literature on the employment effects of increases in the minimum wage. It organizes the most prominent studies in this literature by their use of tw",distilgpt2
,openwebtext,1,loss,0,member_317,train,1,1,2.3766443729400635,"Tens of thousands of Romanians and Bulgarians have come to the UK to work since restrictions were lifted Peter Nicholls/The Times

Net migration has reached a record 336,000 as figures published yeste",distilgpt2
,openwebtext,1,loss,0,nonmember_0,test,0,0,3.4643561840057373,"The Senate HELP Committee is expected to release its proposal this week to stabilize the ACA's marketplaces. The broad outlines of that plan are still in line with what we've reported previously:

A c",distilgpt2
,openwebtext,1,loss,0,member_460,train,1,1,2.838771104812622,"I don’t know if I’m going to make a series out of this, but I might as well set my self up just in case. Anyways, this should be a quickly.

The Covenant system is both one of the biggest differences ",distilgpt2
,openwebtext,1,loss,0,canary_0,canary,1,1,2.24161958694458,CANARY_SEQUENCE_0_TOKEN_770487_KEY_2824,distilgpt2
,openwebtext,1,loss,0,canary_4,canary,1,1,1.8381565809249878,CANARY_SEQUENCE_4_TOKEN_180093_KEY_7553,distilgpt2
,openwebtext,1,loss,0,member_200,train,1,1,2.9187567234039307,"A Hobby Lobby store in Antioch, Calif. The privately owned company is seeking a religious exemption from Obamacare’s contraception mandate.

Photo by Justin Sullivan/Getty Images

The Supreme Court wi",distilgpt2
,openwebtext,1,loss,0,nonmember_336,test,0,0,3.297687292098999,"• Brendan Rodgers could be tempted by £9m plus Dempsey • Fulham sign Hugo Rodallega on free transfer from Wigan

Fulham hope to use Liverpool's interest in Clint Dempsey to drive an audacious swap dea",distilgpt2
,openwebtext,1,loss,0,member_403,train,1,1,2.9814488887786865,"It looks like Whispers of the Old Gods will indeed be the next expansion for Hearthstone. Whispers of the Old Gods will be the third expansion for Hearthstone, and will be the first official set added",distilgpt2
,openwebtext,1,loss,0,nonmember_310,test,0,0,3.5129177570343018,"True Justice Must Be Served For Guantanamo Detainees

President Barack Obama lifted a moratorium on transfers of Guantanamo bay detainees to Yemen – a moratorium he put in place. Why Obama put this mo",distilgpt2
,openwebtext,1,loss,0,nonmember_8,test,0,1,2.9441921710968018,"Media playback is unsupported on your device Media caption George Osborne: ""We're trusting people who have worked hard and saved hard all their lives""

Chancellor George Osborne has promised ""no givea",distilgpt2
,openwebtext,1,loss,0,nonmember_118,test,0,1,3.216193199157715,"Last year, University of Pennsylvania researchers Alexander J. Stewart and Joshua B. Plotkin published a mathematical explanation for why cooperation and generosity have evolved in nature. Using the c",distilgpt2
