sample_id,label,source,attack,score,prediction,correct,text_length,token_rarity,word_frequency,target_loss,ref_loss,loss_diff,model,dataset,canary_rep
nonmember_170,0,test,min_k,8.645126471152674,0,1,166,4.1881564737225965,0.0107323984954357,3.7725815773010254,8.08649730682373,-4.313915729522705,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_380,0,test,min_k,9.252484321594238,0,1,72,3.8513437591126323,0.010903983800035901,3.795971155166626,7.754642486572266,-3.9586713314056396,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_214,0,test,min_k,10.56535668250842,0,1,207,4.037639521866019,0.012251186267394036,4.848775863647461,8.339332580566406,-3.4905567169189453,facebook/opt-125m,wikitext-103-raw-v1,1
member_66,1,train,min_k,6.9537489061002375,1,1,28,4.600989512988265,0.008339884318024463,1.6498526334762573,8.703259468078613,-7.053406834602356,facebook/opt-125m,wikitext-103-raw-v1,1
member_467,1,train,min_k,5.463179869529529,1,1,282,3.7615781172051475,0.012332935184866922,2.2076947689056396,7.295520782470703,-5.0878260135650635,facebook/opt-125m,wikitext-103-raw-v1,1
member_317,1,train,min_k,7.734593311945598,1,1,8,3.5126297579653354,0.010128483441033927,2.396435022354126,8.154592514038086,-5.75815749168396,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_0,0,test,min_k,12.413946787516275,0,1,8,3.8398619963300296,0.009418543012924071,4.894223213195801,8.416030883789062,-3.5218076705932617,facebook/opt-125m,wikitext-103-raw-v1,1
member_460,1,train,min_k,6.682407432132297,1,1,41,4.358078363715557,0.011184197564915873,1.9343048334121704,8.569525718688965,-6.635220885276794,facebook/opt-125m,wikitext-103-raw-v1,1
canary_0,1,canary,min_k,5.988219261169434,1,1,1,6.523458920524919,0.0,1.723834753036499,7.9698333740234375,-6.2459986209869385,facebook/opt-125m,wikitext-103-raw-v1,1
canary_4,1,canary,min_k,5.8037132024765015,1,1,1,6.523458920524919,0.0,1.636278748512268,7.826918125152588,-6.19063937664032,facebook/opt-125m,wikitext-103-raw-v1,1
member_200,1,train,min_k,7.119511555402707,1,1,229,3.954011344207631,0.012765011357944564,2.956160068511963,7.527904987335205,-4.571744918823242,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_336,0,test,min_k,10.931154489517212,0,1,7,3.428278181692599,0.011535743134087237,2.6138157844543457,8.958621978759766,-6.34480619430542,facebook/opt-125m,wikitext-103-raw-v1,1
member_403,1,train,min_k,5.35643196105957,1,1,5,2.689349399338114,0.011273222940226172,1.1117160320281982,7.162132263183594,-6.0504162311553955,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_310,0,test,min_k,9.83971637945909,0,1,87,4.145928822993665,0.012743893097877556,4.5264716148376465,8.967916488647461,-4.4414448738098145,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_8,0,test,min_k,9.389381610430204,0,1,155,4.026267645093251,0.01286870081817708,4.512265205383301,7.60526704788208,-3.0930018424987793,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_118,0,test,min_k,8.010504007339478,1,0,5,3.177818806411955,0.011147011308562198,2.7449662685394287,8.761191368103027,-6.016225099563599,facebook/opt-125m,wikitext-103-raw-v1,1
member_56,1,train,min_k,5.259071548779805,1,1,7,3.0618568449123797,0.011586227786752829,1.2171127796173096,7.721981048583984,-6.504868268966675,facebook/opt-125m,wikitext-103-raw-v1,1
member_80,1,train,min_k,7.670272203592153,1,1,228,3.615334520193846,0.014088318028512315,2.9116876125335693,8.471633911132812,-5.559946298599243,facebook/opt-125m,wikitext-103-raw-v1,1
member_107,1,train,min_k,7.471157239033626,1,1,335,3.8107729808589665,0.01476246594169701,2.9580767154693604,7.462882995605469,-4.504806280136108,facebook/opt-125m,wikitext-103-raw-v1,1
member_267,1,train,min_k,8.652112166086832,0,0,55,4.05210537737707,0.010618299309737109,3.1749610900878906,8.276812553405762,-5.101851463317871,facebook/opt-125m,wikitext-103-raw-v1,1
member_98,1,train,min_k,8.406806945800781,0,0,1,5.270695952029551,0.00015145395799676898,8.406806945800781,14.537897109985352,-6.13109016418457,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_229,0,test,min_k,4.285071690877278,1,0,5,2.689349399338114,0.011273222940226172,1.1117160320281982,7.162132263183594,-6.0504162311553955,facebook/opt-125m,wikitext-103-raw-v1,1
member_298,1,train,min_k,6.504563331604004,1,1,125,4.165370662062911,0.008512520193861067,2.6782712936401367,8.030558586120605,-5.352287292480469,facebook/opt-125m,wikitext-103-raw-v1,1
member_34,1,train,min_k,7.329544550333267,1,1,216,3.9979162543653683,0.01003452589301741,2.9565603733062744,8.015613555908203,-5.059053182601929,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_173,0,test,min_k,10.248666350046795,0,1,92,4.116454126113243,0.009760823470534525,4.646632194519043,7.596855163574219,-2.950222969055176,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_296,0,test,min_k,10.57498473387498,0,1,155,4.036247105175823,0.01260878628380843,4.657217979431152,8.346206665039062,-3.68898868560791,facebook/opt-125m,wikitext-103-raw-v1,1
member_228,1,train,min_k,8.728586726718477,0,0,11,3.5376879720371974,0.004463302247025996,2.293581247329712,7.911274433135986,-5.617693185806274,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_388,0,test,min_k,9.507434484286188,0,1,152,4.110118929387092,0.014305590245302272,4.227441787719727,7.982247352600098,-3.754805564880371,facebook/opt-125m,wikitext-103-raw-v1,1
member_213,1,train,min_k,10.363753227960496,0,0,32,4.395116233859321,0.009260778473344104,3.8604838848114014,8.093127250671387,-4.232643365859985,facebook/opt-125m,wikitext-103-raw-v1,1
member_437,1,train,min_k,5.0283096631368,1,1,7,2.695309070798397,0.011986498961458574,1.545450210571289,5.856216907501221,-4.310766696929932,facebook/opt-125m,wikitext-103-raw-v1,1
member_350,1,train,min_k,8.781040159861247,0,0,22,3.9063478652239807,0.014834456234395653,3.610445022583008,7.121118545532227,-3.5106735229492188,facebook/opt-125m,wikitext-103-raw-v1,1
member_242,1,train,min_k,7.996332223598774,1,1,228,3.5692522188411773,0.013125456133265313,3.317888021469116,7.481544494628906,-4.16365647315979,facebook/opt-125m,wikitext-103-raw-v1,1
member_405,1,train,min_k,5.135465979576111,1,1,7,2.9388445125467433,0.011943226402030925,1.5652939081192017,6.060918807983398,-4.495624899864197,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_90,0,test,min_k,8.675294183549427,0,1,62,3.881201583195898,0.011508465136275993,3.6753599643707275,7.311987400054932,-3.636627435684204,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_325,0,test,min_k,9.376555693776984,0,1,92,4.06529406111612,0.008131321556507691,4.411491394042969,7.799469470977783,-3.3879780769348145,facebook/opt-125m,wikitext-103-raw-v1,1
member_72,1,train,min_k,8.975071946779886,0,0,5,4.850638863468437,0.005573505654281099,1.4356822967529297,11.575949668884277,-10.140267372131348,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_495,0,test,min_k,9.022921629441091,0,1,121,3.8425819765317253,0.012940551609500795,4.3388352394104,7.591054916381836,-3.2522196769714355,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_80,0,test,min_k,9.02970562483135,0,1,73,4.219301301992096,0.010852125611348396,3.6457934379577637,8.331457138061523,-4.68566370010376,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_483,0,test,min_k,10.751945992310842,0,1,69,4.4559721461329564,0.0066025145746997265,5.24203634262085,8.135833740234375,-2.8937973976135254,facebook/opt-125m,wikitext-103-raw-v1,1
nonmember_22,0,test,min_k,9.47631299495697,0,1,6,3.092850049774157,0.00942800888529887,1.0420705080032349,8.119370460510254,-7.077299952507019,facebook/opt-125m,wikitext-103-raw-v1,1
member_362,1,train,min_k,5.895088195800781,1,1,1,6.523458920524919,0.0,3.9002490043640137,8.210905075073242,-4.3106560707092285,facebook/opt-125m,wikitext-103-raw-v1,1
member_43,1,train,min_k,7.758749766227527,1,1,203,3.9101829785208038,0.013990341763690045,3.1285159587860107,7.473855018615723,-4.345339059829712,facebook/opt-125m,wikitext-103-raw-v1,1
