sample_id,label,source,attack,score,prediction,correct,text_length,token_rarity,word_frequency,target_loss,ref_loss,loss_diff,model,dataset,canary_rep
nonmember_170,0,test,recall,0.9867797299264648,0,1,432,3.325273184681893,0.0073750482720839165,2.824230432510376,2.862067699432373,-0.03783726692199707,gpt2,openwebtext,1
nonmember_380,0,test,recall,0.9050709619640706,0,1,309,3.6875216386116825,0.007562119599848076,3.612534761428833,3.991438150405884,-0.3789033889770508,gpt2,openwebtext,1
nonmember_214,0,test,recall,1.047595422981532,0,1,1280,2.99402813167203,0.0077762052164161,3.385916233062744,3.232084035873413,0.15383219718933105,gpt2,openwebtext,1
member_66,1,train,recall,0.8774928104659256,1,1,481,3.1890268044018018,0.006616479569922829,3.090878963470459,3.522397994995117,-0.4315190315246582,gpt2,openwebtext,1
member_467,1,train,recall,0.8191413461534012,1,1,6964,3.389800307161663,0.007672227364676086,1.868632197380066,2.2812085151672363,-0.4125763177871704,gpt2,openwebtext,1
member_317,1,train,recall,0.8336824248314383,1,1,146,2.9102389421444594,0.010580514329750343,2.34092116355896,2.807929039001465,-0.4670078754425049,gpt2,openwebtext,1
nonmember_0,0,test,recall,1.0192351008396041,0,1,222,2.989526010194682,0.008257366241119878,3.238964557647705,3.1778383255004883,0.0611262321472168,gpt2,openwebtext,1
member_460,1,train,recall,0.7652113408670624,1,1,1710,3.039867360509486,0.007360828923261922,2.6056549549102783,3.405144453048706,-0.7994894981384277,gpt2,openwebtext,1
canary_0,1,canary,recall,0.41007918337287386,1,1,1,6.523458920524919,0.0,1.9130090475082397,4.664974689483643,-2.751965641975403,gpt2,openwebtext,1
canary_4,1,canary,recall,0.3573666136996717,1,1,1,6.523458920524919,0.0,1.620185375213623,4.5336785316467285,-2.9134931564331055,gpt2,openwebtext,1
member_200,1,train,recall,0.8017118724651892,1,1,1822,3.122346802460118,0.007937158833568807,2.538515567779541,3.1663689613342285,-0.6278533935546875,gpt2,openwebtext,1
nonmember_336,0,test,recall,1.0032691015348087,0,1,151,3.559467552343697,0.0063828116468933275,2.979976177215576,2.970266103744507,0.009710073471069336,gpt2,openwebtext,1
member_403,1,train,recall,0.8686164384305389,1,1,1343,3.6105405279565668,0.007565230281236977,2.584339141845703,2.975236415863037,-0.390897274017334,gpt2,openwebtext,1
nonmember_310,0,test,recall,0.9528720928236993,0,1,896,3.0694394489552366,0.006691484190972703,3.2613525390625,3.4226551055908203,-0.1613025665283203,gpt2,openwebtext,1
nonmember_8,0,test,recall,1.0262573671086606,0,1,906,3.264527692570227,0.006673895658429738,2.735929012298584,2.665928840637207,0.07000017166137695,gpt2,openwebtext,1
nonmember_118,0,test,recall,0.8969075332303811,0,1,880,3.236080253488887,0.008199155718190635,3.0249991416931152,3.37269926071167,-0.3477001190185547,gpt2,openwebtext,1
member_56,1,train,recall,0.8359081688259871,1,1,310,3.042967233198469,0.007094552736147179,2.5538408756256104,3.0551693439483643,-0.5013284683227539,gpt2,openwebtext,1
member_80,1,train,recall,0.8470860317052139,1,1,305,3.077522768882845,0.007561924599704249,2.837697744369507,3.349952220916748,-0.5122544765472412,gpt2,openwebtext,1
member_107,1,train,recall,0.8105448613997516,1,1,901,3.7295869884998347,0.005102712149772158,2.934049129486084,3.6198480129241943,-0.6857988834381104,gpt2,openwebtext,1
member_267,1,train,recall,0.7644721641108241,1,1,813,3.513327576764645,0.006829055729936543,2.7416467666625977,3.5863263607025146,-0.844679594039917,gpt2,openwebtext,1
member_98,1,train,recall,0.8157694379180113,1,1,509,3.5686824231524445,0.006475063788756791,2.1479713916778564,2.633061647415161,-0.4850902557373047,gpt2,openwebtext,1
nonmember_229,0,test,recall,0.9415239953671993,0,1,978,3.1756019635613173,0.0077507095975674345,3.633016347885132,3.8586549758911133,-0.22563862800598145,gpt2,openwebtext,1
