sample_id,label,source,attack,score,prediction,correct,text_length,token_rarity,word_frequency,target_loss,ref_loss,loss_diff,model,dataset,canary_rep
member_33,1,train,ref_gap,-0.7332558631896973,1,1,15588,4.583503579147275,0.004041291524207111,2.40507435798645,3.1383302211761475,-0.7332558631896973,distilgpt2,openwebtext,8
member_128,1,train,ref_gap,-0.39557719230651855,1,1,387,3.3496194044132857,0.006529008990042531,2.6754469871520996,3.071024179458618,-0.39557719230651855,distilgpt2,openwebtext,8
member_455,1,train,ref_gap,-0.44628047943115234,1,1,668,2.830854069961698,0.00848575158122165,3.622410774230957,4.068691253662109,-0.44628047943115234,distilgpt2,openwebtext,8
nonmember_388,0,test,ref_gap,-0.10427260398864746,0,1,285,3.6586119858294777,0.006785534398557014,3.788541555404663,3.8928141593933105,-0.10427260398864746,distilgpt2,openwebtext,8
nonmember_84,0,test,ref_gap,-0.22893691062927246,0,1,219,3.1538190012176863,0.009072806912648534,3.005758047103882,3.2346949577331543,-0.22893691062927246,distilgpt2,openwebtext,8
member_438,1,train,ref_gap,-0.4893496036529541,1,1,682,2.934004781572379,0.008717087017984987,3.491100549697876,3.98045015335083,-0.4893496036529541,distilgpt2,openwebtext,8
nonmember_107,0,test,ref_gap,-0.050045013427734375,0,1,463,3.230234167184127,0.0068775413582820265,3.328866958618164,3.3789119720458984,-0.050045013427734375,distilgpt2,openwebtext,8
member_293,1,train,ref_gap,-0.37326860427856445,1,1,188,3.008501999932294,0.005159393895618796,3.058943033218384,3.4322116374969482,-0.37326860427856445,distilgpt2,openwebtext,8
member_79,1,train,ref_gap,-0.43357038497924805,1,1,3347,3.170068715215934,0.00630970030633858,2.539926528930664,2.973496913909912,-0.43357038497924805,distilgpt2,openwebtext,8
nonmember_295,0,test,ref_gap,0.018436670303344727,0,1,2134,3.112533720463097,0.007700031452343791,3.3195221424102783,3.3010854721069336,0.018436670303344727,distilgpt2,openwebtext,8
member_188,1,train,ref_gap,-0.59307861328125,1,1,145,3.370912738626038,0.003918776547710626,3.7789382934570312,4.372016906738281,-0.59307861328125,distilgpt2,openwebtext,8
member_264,1,train,ref_gap,-4.252440094947815,1,1,1,6.523458920524919,0.0,0.8368386030197144,5.089278697967529,-4.252440094947815,distilgpt2,openwebtext,8
member_296,1,train,ref_gap,-0.4170064926147461,1,1,380,3.658382728003041,0.00888219153606616,3.1544034481048584,3.5714099407196045,-0.4170064926147461,distilgpt2,openwebtext,8
member_315,1,train,ref_gap,-0.40543484687805176,1,1,3173,3.863386442657049,0.007369866933140712,2.8028576374053955,3.2082924842834473,-0.40543484687805176,distilgpt2,openwebtext,8
nonmember_196,0,test,ref_gap,-0.11600041389465332,0,1,715,3.421198614880067,0.007650264866074759,3.788766860961914,3.9047672748565674,-0.11600041389465332,distilgpt2,openwebtext,8
member_367,1,train,ref_gap,-0.2419736385345459,0,0,5583,3.1789968353680034,0.006252431562282132,3.4871792793273926,3.7291529178619385,-0.2419736385345459,distilgpt2,openwebtext,8
member_247,1,train,ref_gap,-0.3726623058319092,1,1,527,3.1341113024556067,0.0074142107016455724,2.3926212787628174,2.7652835845947266,-0.3726623058319092,distilgpt2,openwebtext,8
member_376,1,train,ref_gap,-0.4588460922241211,1,1,179,3.3759877342905242,0.007967071075974401,2.3577182292938232,2.8165643215179443,-0.4588460922241211,distilgpt2,openwebtext,8
nonmember_475,0,test,ref_gap,-0.07298421859741211,0,1,5027,3.314104692724362,0.00811012385687607,3.790432929992676,3.863417148590088,-0.07298421859741211,distilgpt2,openwebtext,8
member_30,1,train,ref_gap,-3.728702187538147,1,1,1,6.523458920524919,0.0,1.0642093420028687,4.792911529541016,-3.728702187538147,distilgpt2,openwebtext,8
nonmember_180,0,test,ref_gap,-0.19882702827453613,0,1,484,3.1859752982197236,0.006311302113810711,2.496389389038086,2.695216417312622,-0.19882702827453613,distilgpt2,openwebtext,8
member_378,1,train,ref_gap,-0.42925429344177246,1,1,562,3.074702217348205,0.00713310419694109,3.0168237686157227,3.446078062057495,-0.42925429344177246,distilgpt2,openwebtext,8
nonmember_443,0,test,ref_gap,-0.17584490776062012,0,1,243,3.201158551685474,0.007429260815940415,3.0824854373931885,3.2583303451538086,-0.17584490776062012,distilgpt2,openwebtext,8
member_157,1,train,ref_gap,-0.44164490699768066,1,1,629,3.090569091425786,0.007479895882645925,2.425673723220825,2.867318630218506,-0.44164490699768066,distilgpt2,openwebtext,8
canary_18,1,canary,ref_gap,-4.562321901321411,1,1,1,6.523458920524919,0.0,0.664808988571167,5.227130889892578,-4.562321901321411,distilgpt2,openwebtext,8
nonmember_134,0,test,ref_gap,-0.28226590156555176,1,0,319,3.257563295785905,0.006765299234696203,2.7208776473999023,3.003143548965454,-0.28226590156555176,distilgpt2,openwebtext,8
nonmember_425,0,test,ref_gap,-0.08477067947387695,0,1,386,3.1275257358515622,0.006382662086710925,3.3023569583892822,3.387127637863159,-0.08477067947387695,distilgpt2,openwebtext,8
member_420,1,train,ref_gap,-3.5429344177246094,1,1,1,6.523458920524919,0.0,1.0916199684143066,4.634554386138916,-3.5429344177246094,distilgpt2,openwebtext,8
member_493,1,train,ref_gap,-0.6582157611846924,1,1,194,3.6104194177051285,0.00653706740528163,3.615875482559204,4.2740912437438965,-0.6582157611846924,distilgpt2,openwebtext,8
nonmember_29,0,test,ref_gap,-0.1382770538330078,0,1,397,3.0272345465643813,0.008015749791721129,3.0104706287384033,3.148747682571411,-0.1382770538330078,distilgpt2,openwebtext,8
member_413,1,train,ref_gap,-0.3729546070098877,1,1,247,3.4383184490133463,0.006387218886580773,2.491635799407959,2.8645904064178467,-0.3729546070098877,distilgpt2,openwebtext,8
member_370,1,train,ref_gap,-0.3153970241546631,1,1,2965,2.993681867767224,0.006568526602800535,3.06842303276062,3.383820056915283,-0.3153970241546631,distilgpt2,openwebtext,8
member_350,1,train,ref_gap,-0.6342787742614746,1,1,660,3.352976811549284,0.006383766128795228,4.025096893310547,4.6593756675720215,-0.6342787742614746,distilgpt2,openwebtext,8
nonmember_492,0,test,ref_gap,-0.006064653396606445,0,1,1188,3.621835858867837,0.007826315205073693,3.6941816806793213,3.7002463340759277,-0.006064653396606445,distilgpt2,openwebtext,8
member_275,1,train,ref_gap,-0.40684056282043457,1,1,854,3.4607682635470525,0.005851745764213366,3.3340938091278076,3.740934371948242,-0.40684056282043457,distilgpt2,openwebtext,8
member_297,1,train,ref_gap,-0.43895530700683594,1,1,1499,3.17494245977527,0.008418810082893932,3.5223989486694336,3.9613542556762695,-0.43895530700683594,distilgpt2,openwebtext,8
nonmember_16,0,test,ref_gap,-0.19754481315612793,0,1,323,2.9669544842508686,0.007119128982952617,2.8944149017333984,3.0919597148895264,-0.19754481315612793,distilgpt2,openwebtext,8
member_20,1,train,ref_gap,-0.3551499843597412,1,1,363,2.949457562631488,0.007699410559167195,2.465620517730713,2.820770502090454,-0.3551499843597412,distilgpt2,openwebtext,8
member_330,1,train,ref_gap,-0.4915785789489746,1,1,334,3.3115396225881275,0.007612515028139646,2.637956380844116,3.129534959793091,-0.4915785789489746,distilgpt2,openwebtext,8
member_227,1,train,ref_gap,-0.29187488555908203,1,1,745,3.4995024843588296,0.006662193478671257,3.1678755283355713,3.4597504138946533,-0.29187488555908203,distilgpt2,openwebtext,8
member_125,1,train,ref_gap,-0.37426209449768066,1,1,1080,3.212134854967006,0.006558815605129863,3.045484781265259,3.4197468757629395,-0.37426209449768066,distilgpt2,openwebtext,8
nonmember_496,0,test,ref_gap,-0.06437849998474121,0,1,1761,2.899983579797608,0.006858516042434667,3.4438178539276123,3.5081963539123535,-0.06437849998474121,distilgpt2,openwebtext,8
nonmember_436,0,test,ref_gap,-0.11025691032409668,0,1,747,3.1992736232850403,0.009023101783142917,3.877258539199829,3.987515449523926,-0.11025691032409668,distilgpt2,openwebtext,8
member_461,1,train,ref_gap,-0.5552592277526855,1,1,577,3.344031265047688,0.006599307935792849,3.1758487224578857,3.7311079502105713,-0.5552592277526855,distilgpt2,openwebtext,8
nonmember_206,0,test,ref_gap,-0.08823132514953613,0,1,466,2.8655610673448324,0.009129907419356181,3.1444907188415527,3.232722043991089,-0.08823132514953613,distilgpt2,openwebtext,8
nonmember_5,0,test,ref_gap,-0.23575067520141602,0,1,2222,3.683129289518905,0.007107908657015071,3.4791393280029297,3.7148900032043457,-0.23575067520141602,distilgpt2,openwebtext,8
member_212,1,train,ref_gap,-3.6028668880462646,1,1,1,6.523458920524919,0.0,1.072547197341919,4.675414085388184,-3.6028668880462646,distilgpt2,openwebtext,8
member_347,1,train,ref_gap,-0.3942304849624634,1,1,236,3.191302150650753,0.007067178072958622,1.4285739660263062,1.8228044509887695,-0.3942304849624634,distilgpt2,openwebtext,8
member_34,1,train,ref_gap,-0.38303136825561523,1,1,291,3.183674017025326,0.006924031984427757,2.371504068374634,2.754535436630249,-0.38303136825561523,distilgpt2,openwebtext,8
