model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,wikitext-103-raw-v1,1,loss,0,nonmember_170,test,0,0,3.5613722801208496,"Although Rifenburg finished fourth among midwestern Heisman voters in 1948 , he did not finish among the top eight . By comparison , Notre Dame end Leon Hart won the Heisman Trophy in 1949 but made on",distilgpt2
,wikitext-103-raw-v1,1,loss,0,nonmember_380,test,0,1,3.319991111755371,"Rifenburg was considered one of the greatest Wolverine 's of the 1940s . In four seasons with the Michigan Wolverines , Rifenburg played in 32 games and had over 1 @,@ 000 yards of total offense . Rif",distilgpt2
,wikitext-103-raw-v1,1,loss,0,nonmember_214,test,0,0,4.468080043792725,"Sails persisted on ' cruising ironclads ' for much longer . During the 1860s , the French navy had produced the Alma and La Galissonnière classes as small , long @-@ range ironclads as overseas cruise",distilgpt2
,wikitext-103-raw-v1,1,loss,0,member_66,train,1,1,2.4855520725250244,"Domenico Orsini d 'Aragona ( September 9 , 1743 ) – Cardinal @-@ Deacon of S. Maria ad Martyres ; Cardinal @-@ protector of the Kingdom of Naples",distilgpt2
,wikitext-103-raw-v1,1,loss,0,member_467,train,1,1,2.6147239208221436,"For several years the arsenal , which was owned by the federal government , served as a simple arms depot and was staffed with only a handful of soldiers . But in November 1860 , with the American Civ",distilgpt2
,wikitext-103-raw-v1,1,loss,0,member_317,train,1,1,2.826669454574585,= = Comedic and acting style = =,distilgpt2
,wikitext-103-raw-v1,1,loss,0,nonmember_0,test,0,0,5.234603404998779,= = Conversion to hybrid carriers = =,distilgpt2
,wikitext-103-raw-v1,1,loss,0,member_460,train,1,1,2.5193111896514893,"Federico Marcello Lante ( September 9 , 1743 ) – Cardinal @-@ Bishop of Porto e Santa Rufina ; Sub @-@ dean of the Sacred College of Cardinals ; prefect of the S.C. of the Good Government ; governor o",distilgpt2
,wikitext-103-raw-v1,1,loss,0,canary_0,canary,1,1,2.201678991317749,CANARY_SEQUENCE_0_TOKEN_770487_KEY_2824,distilgpt2
,wikitext-103-raw-v1,1,loss,0,canary_4,canary,1,1,1.7413784265518188,CANARY_SEQUENCE_4_TOKEN_180093_KEY_7553,distilgpt2
,wikitext-103-raw-v1,1,loss,0,member_200,train,1,1,3.2956950664520264,"In June 2009 , The Guardian released video evidence recorded by a FIT at the 2008 Climate Camp of alleged police brutality against two female members of Fitwatch . The women had asked police officers ",distilgpt2
,wikitext-103-raw-v1,1,loss,0,nonmember_336,test,0,1,2.2913036346435547,= = Armament and tactics = =,distilgpt2
,wikitext-103-raw-v1,1,loss,0,member_403,train,1,1,1.0321621894836426,= = History = =,distilgpt2
