model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,openwebtext,2,loss,0,nonmember_223,test,0,0,3.220609426498413,"Matthew Thomas was one of the top high school recruits in the country in 2013. Out of Miami (Fla.) Booker T. Washington High School, Thomas held scholarship offers from every major school in the count",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_265,test,0,0,3.6120409965515137,"0

Coming off the success of his directorial debut The Cabin in the Woods, which he also co-wrote with Joss Whedon, filmmaker Drew Goddard lined up a couple of exciting and massive filmmaking opportun",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_248,test,0,0,5.048745632171631,"History of Lake Chargoggagoggmanchauggagoggchaubunagungamaugg (from the Webster TIMES Centennial Anniversary Issue, 1859-1959) The Name From the days when the big lake with the longest name in the Uni",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_66,train,1,1,2.6920526027679443,"The mother of a 12-year-old California girl is demanding justice after video surfaced of her daughter being beaten up not just by a fellow student, but two adults.

“I’m beyond mad,” the girl’s mother",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_244,test,0,1,2.505812168121338,"John Barr reacts to the news that former Browns QB Johnny Manziel has been indicted by a grand jury on a misdemeanor charge from a domestic violence complaint by his ex-girlfriend. (1:44)

DALLAS -- F",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_397,train,1,0,3.402752161026001,"The objective

Make a black box, a device which would record short clips from camera in loop overwriting oldest clips. That would produce constant stream of short movies which put together would make ",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_44,train,1,1,2.116677761077881,"MINGORA: The second-century double-dome vihara, a Buddhist monastery, at Balokaley in Kandak valley, Barikot, is attracting a large number of tourists, architecture students and archaeology researches",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_330,test,0,0,4.542036533355713,"'TRON: The Next Day - Flynn Lives Revealed' Video Leaked Online

""Flynn came back… just a little bit younger."" Get it while it's hot! We were tipped by @CoreyMPAnderson that the full 10-minute secret ",EleutherAI/pythia-160m
,openwebtext,2,loss,0,canary_0,canary,1,1,0.9367043375968933,CANARY_SEQUENCE_0_TOKEN_770487_KEY_2824,EleutherAI/pythia-160m
,openwebtext,2,loss,0,canary_4,canary,1,1,1.1279723644256592,CANARY_SEQUENCE_4_TOKEN_180093_KEY_7553,EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_44,test,0,0,4.7433247566223145,Jay Petschek and Steven Major's hedge fund Corsair Capital pitched Alere (ALR) in their Q4 letter. They feel that the market still has a negative view toward the company despite numerous changes happe,EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_124,test,0,0,3.8216137886047363,"“Honestly, at a certain point it just became the norm.”

I’m sitting in a basement with Drew Goodman. Now retired, Drew spent 34 years as the play-by-play voice of the Colorado Rockies. Drew now spend",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_43,test,0,0,3.078123092651367,"Rachel Jeantel, star witness in the Trayvon Martin murder trial, was asked in Seminole Circuit Court in Sanford, Florida this week to read from a letter that she allegedly ""wrote"" to Mr. Martin's moth",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_443,train,1,1,2.6056067943573,"Clarifying The Trustwave CA Policy Update

We've seen a number of comments and questions on Twitter regarding a recent Trustwave CA Policy Update to our legal repository (https://ssl.trustwave.com/CA)",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_97,train,1,0,3.0782341957092285,"What does ""open source"" mean? With open source software being so prevalent in our lives (Android, WordPress, Mozilla Firefox are almost fixtures), you would think that it would be simple enough to fin",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_336,test,0,0,4.804787635803223,"In the wake of the sexual harassment allegations against Justin Caldbeck, he has since released a public apology, wherein he promised to seek professional counseling for his behavior after stepping do",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_239,train,1,1,2.3316593170166016,"Watch: President Trump sings along to “Star-Spangled Banner” at Memorial Day ceremony at Arlington Nat’l Cemetery https://t.co/bUoHsX8HJf — NBC News (@NBCNews) May 29, 2017

In the next edition of Don",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_56,train,1,1,2.657433032989502,"Long before five different goal scorers prompted the C of Red to rise in celebration as part of the Calgary Flames’ seventh-straight win, a brave 11-year-old girl elicited a similar reaction.

Standin",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_493,test,0,0,4.356184959411621,"MORE ECS COVERAGE: ECS Season 3 finals event hub

SUBSCRIBE FOR MORE PLAYER INTERVIEWS: Cybersport.com @ YouTube

Yesterday, Cloud9 delivered the first upset of ECS Season 3 finals. Down 10-5 to defen",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_81,test,0,0,3.107638120651245,"Helen Branswell, The Canadian Press

TORONTO -- A new study suggests giving boys the HPV vaccine could cut health-care costs over the long run.

The researchers used mathematical modelling to estimate",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_106,train,1,1,1.9757535457611084,"Sabbath mode, also known as Shabbos mode (Ashkenazi pronunciation) or Shabbat mode, is a feature in many modern home appliances, including ovens[1] and refrigerators,[2] which is intended to allow the",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_34,train,1,1,2.4815096855163574,"Google Opinion Rewards is now live in India, Singapore, and Turkey, allowing customers from these markets to participate in surveys to get Play Store credit.

In the U.S., customers get up to $1 in cr",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_149,test,0,0,4.017098426818848,The Narendra Modi government finds itself clueless on how to tackle the present economic slowdown and growing unemployment in traditional as well as IT sectors. Certain exercises were conducted in the,EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_491,train,1,1,2.3975560665130615,"VANCOUVER – For fans of movie star Kevin Spacey, this may be the ultimate gift.

A Vancouver resident is selling what they claim is a jar of Kevin Spacey’s breath.

Spacey reportedly breathed into the",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_360,train,1,1,2.5598764419555664,"After patiently waiting, I noticed that my wonderful Santa had shipped their gifts! Not only that, but one of them arrived that very day! Gleefully, I tore open the packaging and found... a box of Ott",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_288,train,1,1,2.455019950866699,"“Jessica Jones” Season 2 has cast Leah Gibson as a series regular, Variety has learned from sources.

Gibson will play Ingrid, who is described as street-wise but who also has an education as a nurse.",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_237,test,0,0,4.198244094848633,"Are you ready for me to shill some ska at you! Here it is, the first time I’ve played any of the songs off of the 7″ records that I made last year. Yes, I’ll admit it, this is an advertisement. I real",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_364,test,0,0,3.6810014247894287,"1988 novel by Salman Rushdie

This article is about the novel. For the verses known as ""Satanic Verses"", see Satanic Verses

The Satanic Verses is Salman Rushdie's fourth novel, first published in 198",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_184,train,1,1,2.4198689460754395,"In a week of things that only happen with guns and in America, add yet another to the list.

In Rock Hill, South Carolina, Americans’ propensity for leaving semi-hidden deadly weaponry around like it’",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_4,test,0,0,3.841082811355591,Individuals usually seek out a psychic medium in the hope of contacting a loved one who has passed on to the other side. They yearn to receive a message from their loved one to be able to find comfort,EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_373,test,0,0,3.202666997909546,"With all the Bitcoin drama going on, it's easy to get distracted from what is important. What is important, whether Bitcoin stays on top or not, is the idea of cryptocurrency, of which Bitcoin was the",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_438,train,1,1,2.3859190940856934,"Before I get started, I want to point out that this article is aimed at pre-field graduate students and undergraduates, and that the context is working with American funding agencies. YMMV.

As I ment",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_453,train,1,1,2.6355369091033936,"Statues of children with Ronald McDonald stand at the entrance to the Oak Brook Public Library.

Telling her mother that she wanted to come to the aid of a library under attack, 11-year-old Sydney Sab",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_295,train,1,1,2.426589012145996,"Recently, education reporter Jay Mathews of The Washington Post has been writing about reading in the public schools, two of those pieces appearing here and here. One reason for doing so stems from a ",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_71,train,1,1,2.3314762115478516,"CLOSE Millions of little girls and young women have been subjected to a painful rite of passage that involves cutting their genitals — often without anesthesia — for centuries in parts of Asia, Africa",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_103,test,0,0,3.436753749847412,"Welcome, Friends, to the 2017 releases table. This is an effort to keep a finger on the pulse of the world of psychedelic downtempo / psychill / psybient music and its many facets, and is meant to not",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_267,train,1,0,3.0810494422912598,"by

Photo by Ninian Reid | CC BY 2.0

It is said that Twitter has been responsible for stirring nascent revolutions in the Middle East, going beyond its initial description as the Seinfeld platform of",EleutherAI/pythia-160m
,openwebtext,2,loss,0,nonmember_259,test,0,0,3.799690008163452,"McCain said the administration 'should be consulting' members of Congress. McCain fumes over leaks on Syria

Sen. John McCain on Wednesday said President Barack Obama has failed to lay out his policy ",EleutherAI/pythia-160m
,openwebtext,2,loss,0,member_112,train,1,1,1.2885997295379639,CANARY_SEQUENCE_20_TOKEN_703207_KEY_3834,EleutherAI/pythia-160m
