sample_id,label,source,attack,score,prediction,correct,text_length,token_rarity,word_frequency,target_loss,ref_loss,loss_diff,model,dataset,canary_rep
nonmember_223,0,test,ref_gap,-4.621840715408325,1,0,270,3.2280327879169852,0.005660047778137012,3.083671808242798,7.705512523651123,-4.621840715408325,facebook/opt-125m,openwebtext,2
nonmember_265,0,test,ref_gap,-4.082738161087036,0,1,385,3.28253269588897,0.007261453386574629,3.559983968734741,7.642722129821777,-4.082738161087036,facebook/opt-125m,openwebtext,2
nonmember_248,0,test,ref_gap,-2.9716153144836426,0,1,2868,3.3345884513627344,0.009128575356419612,5.010759353637695,7.982374668121338,-2.9716153144836426,facebook/opt-125m,openwebtext,2
member_66,1,train,ref_gap,-4.506056070327759,1,1,196,3.2054538798779357,0.008006715295235457,2.66178822517395,7.167844295501709,-4.506056070327759,facebook/opt-125m,openwebtext,2
nonmember_244,0,test,ref_gap,-5.424910306930542,1,0,884,3.317178051815039,0.006677069115342922,2.707266092300415,8.132176399230957,-5.424910306930542,facebook/opt-125m,openwebtext,2
member_397,1,train,ref_gap,-3.3406033515930176,0,0,2338,4.177311915281179,0.003262512663463429,4.133730411529541,7.474333763122559,-3.3406033515930176,facebook/opt-125m,openwebtext,2
member_44,1,train,ref_gap,-4.505117416381836,1,1,489,3.553413124270541,0.009208116883760876,3.0373926162719727,7.542510032653809,-4.505117416381836,facebook/opt-125m,openwebtext,2
nonmember_330,0,test,ref_gap,-3.6764273643493652,0,1,470,3.8230958926700875,0.004980441422291929,4.652477741241455,8.32890510559082,-3.6764273643493652,facebook/opt-125m,openwebtext,2
canary_0,1,canary,ref_gap,-6.386281371116638,1,1,1,6.523458920524919,0.0,1.5835520029067993,7.9698333740234375,-6.386281371116638,facebook/opt-125m,openwebtext,2
canary_4,1,canary,ref_gap,-6.375726819038391,1,1,1,6.523458920524919,0.0,1.4511913061141968,7.826918125152588,-6.375726819038391,facebook/opt-125m,openwebtext,2
nonmember_44,0,test,ref_gap,-3.3358349800109863,0,1,191,3.469014821506926,0.006301562555542578,4.696732997894287,8.032567977905273,-3.3358349800109863,facebook/opt-125m,openwebtext,2
