model_name,dataset,canary_rep,attack,run,sample_id,source,label,prediction,score,text,model
,openwebtext,1,loss,0,nonmember_170,test,0,0,3.733607053756714,"Mr Obama visits Poland at the end of the month and is expected to confirm the stationing of F16 combat aircraft on Polish soil during meetings with Bronislaw Komorowski, his Polish counterpart, and ot",facebook/opt-125m
,openwebtext,1,loss,0,nonmember_380,test,0,0,4.0182318687438965,"NEW WESTMINSTER, BC––Bellingham United FC traveled to Queens Park, New Westminster, BC on Thursday June 6 to take on the league leaders Khalsa Sporting Club with first place on the line.

Goals from t",facebook/opt-125m
,openwebtext,1,loss,0,nonmember_214,test,0,0,4.2979888916015625,"400-Watt Wall Panel Convection Heater is rated 4.0 out of 5 by 153 .

Rated 5 out of 5 by Yooper from Econo-Heat Wall Board Heater Econo-Heat 400 Watt Convection Flat Panel Space Heater with Programma",facebook/opt-125m
,openwebtext,1,loss,0,member_66,train,1,0,3.307278871536255,"James Bass is a Texas transportation veteran, but in his new capacity as TxDOT’s executive director he is encountering a changing environment.

Despite voters approving additional money for roads with",facebook/opt-125m
,openwebtext,1,loss,0,member_467,train,1,1,2.3621320724487305,"Executive summary

This paper reviews the empirical literature on the employment effects of increases in the minimum wage. It organizes the most prominent studies in this literature by their use of tw",facebook/opt-125m
,openwebtext,1,loss,0,member_317,train,1,1,2.176926612854004,"Tens of thousands of Romanians and Bulgarians have come to the UK to work since restrictions were lifted Peter Nicholls/The Times

Net migration has reached a record 336,000 as figures published yeste",facebook/opt-125m
,openwebtext,1,loss,0,nonmember_0,test,0,0,3.8703386783599854,"The Senate HELP Committee is expected to release its proposal this week to stabilize the ACA's marketplaces. The broad outlines of that plan are still in line with what we've reported previously:

A c",facebook/opt-125m
,openwebtext,1,loss,0,member_460,train,1,1,2.5287609100341797,"I don’t know if I’m going to make a series out of this, but I might as well set my self up just in case. Anyways, this should be a quickly.

The Covenant system is both one of the biggest differences ",facebook/opt-125m
,openwebtext,1,loss,0,canary_0,canary,1,1,1.9488131999969482,CANARY_SEQUENCE_0_TOKEN_770487_KEY_2824,facebook/opt-125m
,openwebtext,1,loss,0,canary_4,canary,1,1,1.6026465892791748,CANARY_SEQUENCE_4_TOKEN_180093_KEY_7553,facebook/opt-125m
